ByteRange0,ByteRange1,ByteRange2,ByteRange3,ByteRange4,ByteRange5,ByteRange6,ByteRange7,ByteRange8,ByteRange9,ByteRange10,ByteRange11,AggregateByteValue,Label
101,118,101,110,116,0,0,0,0,0,0,0,0.007876903221499658,13184
117,110,101,120,112,101,99,116,101,100,0,0,0.007862340879682368,13184
111,117,116,97,103,101,0,0,0,0,0,0,0.007845142520236055,13184
109,97,121,0,0,0,0,0,0,0,0,0,0.007833177492987184,13184
101,120,116,101,110,100,101,100,0,0,0,0,0.007816696686174785,13184
112,101,114,105,111,100,0,0,0,0,0,0,0.007799914894545614,13184
115,111,114,114,121,0,0,0,0,0,0,0,0.007782593799115713,13184
97,99,99,101,115,115,0,0,0,0,0,0,0.007766757180100053,13184
114,101,115,111,117,114,99,101,0,0,0,0,0.007749858395144977,13184
115,111,114,114,121,0,0,0,0,0,0,0,0.0077328851841892985,13184
112,101,114,109,105,115,115,105,111,110,0,0,0.0077188086416782944,13184
114,117,110,0,0,0,0,0,0,0,0,0,0.007706843554549918,13184
114,101,112,111,114,116,0,0,0,0,0,0,0.007689837069808993,13184
115,101,114,118,105,99,101,0,0,0,0,0,0.007673627846130217,13184
114,101,113,117,101,115,116,0,0,0,0,0,0.0076565780173641525,13184
99,111,109,111,114,98,105,116,122,116,98,115,0.007851937787767828,13184
117,110,107,110,111,119,110,0,0,0,0,0,0.00783426611301679,13184
101,120,99,101,112,116,105,111,110,0,0,0,0.007819082323958119,13184
99,97,117,103,104,116,0,0,0,0,0,0,0.007803617835437599,13184
115,116,97,99,107,0,0,0,0,0,0,0,0.007788990357634815,13184
99,111,109,111,114,98,105,116,122,99,111,109,0.007978339350180505,13184
117,110,101,120,112,101,99,116,101,100,0,0,0.007964661350409193,13184
101,114,114,111,114,110,106,97,118,97,108,97,0.008130260756960387,13184
99,111,109,111,114,98,105,116,122,112,114,111,0.016618483369810914,13184
99,111,109,111,114,98,105,116,122,99,111,109,0.016988681588776054,13184
99,111,109,111,114,98,105,116,122,116,98,115,0.01701066987150494,13184
117,110,107,110,111,119,110,0,0,0,0,0,0.016965135897446908,13184
101,120,99,101,112,116,105,111,110,0,0,0,0.016914427894727843,13184
99,97,117,103,104,116,0,0,0,0,0,0,0.01687687598062624,13184
115,116,97,99,107,0,0,0,0,0,0,0,0.016844068777171834,13184
99,111,109,111,114,98,105,116,122,108,97,112,0.017248418154527437,13184
102,97,105,108,101,100,0,0,0,0,0,0,0.017212753373837302,13184
108,97,112,115,97,110,103,0,0,0,0,0,0.01717134858099444,13184
115,101,114,118,105,99,101,0,0,0,0,0,0.01712942182323394,13184
105,110,118,111,99,97,116,105,111,110,0,0,0.01707751550964954,13184
114,101,113,117,101,115,116,117,114,108,0,0,0.017023708652436045,13184
104,116,116,112,104,98,101,97,117,115,116,105,0.01730733685476868,13184
99,111,109,111,114,98,105,116,122,116,98,115,0.017323016237835373,13184
117,110,107,110,111,119,110,0,0,0,0,0,0.017280514505724348,13184
101,120,99,101,112,116,105,111,110,0,0,0,0.017233034710950182,13184
99,97,117,103,104,116,0,0,0,0,0,0,0.01719796515701141,13184
115,116,97,99,107,0,0,0,0,0,0,0,0.017167343799765398,13184
